# id;timestamp;commentText;codeText;commentWords;codeWords
SpilledSubpartitionView -> @Override 	public void onNotification();1480624969;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1480624969;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1481206884;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1515510677;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1516285456;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1518785736;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1518785736;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1519039292;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyBuffersAvailable(numberOfSpilledBuffers)__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,buffers,available,number,of,spilled,buffers,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1519039301;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyDataAvailable()__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,data,available,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1519834372;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyDataAvailable()__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,data,available,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
SpilledSubpartitionView -> @Override 	public void onNotification();1520610580;This is the call back method for the spill writer. If a spill is still_in progress when this view is created we wait until this method is called_before we notify the availability listener.;@Override_	public void onNotification() {_		isSpillInProgress = false__		availabilityListener.notifyDataAvailable()__		LOG.debug("Finished spilling. Notified about {} available buffers.", numberOfSpilledBuffers)__	};this,is,the,call,back,method,for,the,spill,writer,if,a,spill,is,still,in,progress,when,this,view,is,created,we,wait,until,this,method,is,called,before,we,notify,the,availability,listener;override,public,void,on,notification,is,spill,in,progress,false,availability,listener,notify,data,available,log,debug,finished,spilling,notified,about,available,buffers,number,of,spilled,buffers
