# id;timestamp;commentText;codeText;commentWords;codeWords
ConfigurableMimeFileTypeMap -> public void setMappings(String[] mappings);1367955086;Specify additional MIME type mappings as lines that follow the_{@code mime.types} file format, as specified by the_Java Activation Framework, for example:<br>_{@code text/html  html htm HTML HTM};public void setMappings(String[] mappings) {_		this.mappings = mappings__	};specify,additional,mime,type,mappings,as,lines,that,follow,the,code,mime,types,file,format,as,specified,by,the,java,activation,framework,for,example,br,code,text,html,html,htm,html,htm;public,void,set,mappings,string,mappings,this,mappings,mappings
ConfigurableMimeFileTypeMap -> public void setMappings(String[] mappings);1368482696;Specify additional MIME type mappings as lines that follow the_{@code mime.types} file format, as specified by the_Java Activation Framework, for example:<br>_{@code text/html  html htm HTML HTM};public void setMappings(String[] mappings) {_		this.mappings = mappings__	};specify,additional,mime,type,mappings,as,lines,that,follow,the,code,mime,types,file,format,as,specified,by,the,java,activation,framework,for,example,br,code,text,html,html,htm,html,htm;public,void,set,mappings,string,mappings,this,mappings,mappings
ConfigurableMimeFileTypeMap -> public void afterPropertiesSet();1328020251;Creates the final merged mapping set.;public void afterPropertiesSet() {_		getFileTypeMap()__	};creates,the,final,merged,mapping,set;public,void,after,properties,set,get,file,type,map
ConfigurableMimeFileTypeMap -> public void afterPropertiesSet();1357119239;Creates the final merged mapping set.;public void afterPropertiesSet() {_		getFileTypeMap()__	};creates,the,final,merged,mapping,set;public,void,after,properties,set,get,file,type,map
ConfigurableMimeFileTypeMap -> public void afterPropertiesSet();1367955086;Creates the final merged mapping set.;public void afterPropertiesSet() {_		getFileTypeMap()__	};creates,the,final,merged,mapping,set;public,void,after,properties,set,get,file,type,map
ConfigurableMimeFileTypeMap -> protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException;1328020251;Compile a {@link FileTypeMap} from the mappings in the given mapping file_and the given mapping entries._<p>The default implementation creates an Activation Framework {@link MimetypesFileTypeMap},_passing in an InputStream from the mapping resource (if any) and registering_the mapping lines programmatically._@param mappingLocation a <code>mime.types</code> mapping resource (can be <code>null</code>)_@param mappings MIME type mapping lines (can be <code>null</code>)_@return the compiled FileTypeMap_@throws IOException if resource access failed_@see javax.activation.MimetypesFileTypeMap#MimetypesFileTypeMap(java.io.InputStream)_@see javax.activation.MimetypesFileTypeMap#addMimeTypes(String);protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException {_		MimetypesFileTypeMap fileTypeMap = null__		if (mappingLocation != null) {_			InputStream is = mappingLocation.getInputStream()__			try {_				fileTypeMap = new MimetypesFileTypeMap(is)__			}_			finally {_				is.close()__			}_		}_		else {_			fileTypeMap = new MimetypesFileTypeMap()__		}_		if (mappings != null) {_			for (String mapping : mappings) {_				fileTypeMap.addMimeTypes(mapping)__			}_		}_		return fileTypeMap__	};compile,a,link,file,type,map,from,the,mappings,in,the,given,mapping,file,and,the,given,mapping,entries,p,the,default,implementation,creates,an,activation,framework,link,mimetypes,file,type,map,passing,in,an,input,stream,from,the,mapping,resource,if,any,and,registering,the,mapping,lines,programmatically,param,mapping,location,a,code,mime,types,code,mapping,resource,can,be,code,null,code,param,mappings,mime,type,mapping,lines,can,be,code,null,code,return,the,compiled,file,type,map,throws,ioexception,if,resource,access,failed,see,javax,activation,mimetypes,file,type,map,mimetypes,file,type,map,java,io,input,stream,see,javax,activation,mimetypes,file,type,map,add,mime,types,string;protected,file,type,map,create,file,type,map,resource,mapping,location,string,mappings,throws,ioexception,mimetypes,file,type,map,file,type,map,null,if,mapping,location,null,input,stream,is,mapping,location,get,input,stream,try,file,type,map,new,mimetypes,file,type,map,is,finally,is,close,else,file,type,map,new,mimetypes,file,type,map,if,mappings,null,for,string,mapping,mappings,file,type,map,add,mime,types,mapping,return,file,type,map
ConfigurableMimeFileTypeMap -> protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException;1356735495;Compile a {@link FileTypeMap} from the mappings in the given mapping file_and the given mapping entries._<p>The default implementation creates an Activation Framework {@link MimetypesFileTypeMap},_passing in an InputStream from the mapping resource (if any) and registering_the mapping lines programmatically._@param mappingLocation a {@code mime.types} mapping resource (can be {@code null})_@param mappings MIME type mapping lines (can be {@code null})_@return the compiled FileTypeMap_@throws IOException if resource access failed_@see javax.activation.MimetypesFileTypeMap#MimetypesFileTypeMap(java.io.InputStream)_@see javax.activation.MimetypesFileTypeMap#addMimeTypes(String);protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException {_		MimetypesFileTypeMap fileTypeMap = null__		if (mappingLocation != null) {_			InputStream is = mappingLocation.getInputStream()__			try {_				fileTypeMap = new MimetypesFileTypeMap(is)__			}_			finally {_				is.close()__			}_		}_		else {_			fileTypeMap = new MimetypesFileTypeMap()__		}_		if (mappings != null) {_			for (String mapping : mappings) {_				fileTypeMap.addMimeTypes(mapping)__			}_		}_		return fileTypeMap__	};compile,a,link,file,type,map,from,the,mappings,in,the,given,mapping,file,and,the,given,mapping,entries,p,the,default,implementation,creates,an,activation,framework,link,mimetypes,file,type,map,passing,in,an,input,stream,from,the,mapping,resource,if,any,and,registering,the,mapping,lines,programmatically,param,mapping,location,a,code,mime,types,mapping,resource,can,be,code,null,param,mappings,mime,type,mapping,lines,can,be,code,null,return,the,compiled,file,type,map,throws,ioexception,if,resource,access,failed,see,javax,activation,mimetypes,file,type,map,mimetypes,file,type,map,java,io,input,stream,see,javax,activation,mimetypes,file,type,map,add,mime,types,string;protected,file,type,map,create,file,type,map,resource,mapping,location,string,mappings,throws,ioexception,mimetypes,file,type,map,file,type,map,null,if,mapping,location,null,input,stream,is,mapping,location,get,input,stream,try,file,type,map,new,mimetypes,file,type,map,is,finally,is,close,else,file,type,map,new,mimetypes,file,type,map,if,mappings,null,for,string,mapping,mappings,file,type,map,add,mime,types,mapping,return,file,type,map
ConfigurableMimeFileTypeMap -> protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException;1357119239;Compile a {@link FileTypeMap} from the mappings in the given mapping file_and the given mapping entries._<p>The default implementation creates an Activation Framework {@link MimetypesFileTypeMap},_passing in an InputStream from the mapping resource (if any) and registering_the mapping lines programmatically._@param mappingLocation a {@code mime.types} mapping resource (can be {@code null})_@param mappings MIME type mapping lines (can be {@code null})_@return the compiled FileTypeMap_@throws IOException if resource access failed_@see javax.activation.MimetypesFileTypeMap#MimetypesFileTypeMap(java.io.InputStream)_@see javax.activation.MimetypesFileTypeMap#addMimeTypes(String);protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException {_		MimetypesFileTypeMap fileTypeMap = null__		if (mappingLocation != null) {_			InputStream is = mappingLocation.getInputStream()__			try {_				fileTypeMap = new MimetypesFileTypeMap(is)__			}_			finally {_				is.close()__			}_		}_		else {_			fileTypeMap = new MimetypesFileTypeMap()__		}_		if (mappings != null) {_			for (String mapping : mappings) {_				fileTypeMap.addMimeTypes(mapping)__			}_		}_		return fileTypeMap__	};compile,a,link,file,type,map,from,the,mappings,in,the,given,mapping,file,and,the,given,mapping,entries,p,the,default,implementation,creates,an,activation,framework,link,mimetypes,file,type,map,passing,in,an,input,stream,from,the,mapping,resource,if,any,and,registering,the,mapping,lines,programmatically,param,mapping,location,a,code,mime,types,mapping,resource,can,be,code,null,param,mappings,mime,type,mapping,lines,can,be,code,null,return,the,compiled,file,type,map,throws,ioexception,if,resource,access,failed,see,javax,activation,mimetypes,file,type,map,mimetypes,file,type,map,java,io,input,stream,see,javax,activation,mimetypes,file,type,map,add,mime,types,string;protected,file,type,map,create,file,type,map,resource,mapping,location,string,mappings,throws,ioexception,mimetypes,file,type,map,file,type,map,null,if,mapping,location,null,input,stream,is,mapping,location,get,input,stream,try,file,type,map,new,mimetypes,file,type,map,is,finally,is,close,else,file,type,map,new,mimetypes,file,type,map,if,mappings,null,for,string,mapping,mappings,file,type,map,add,mime,types,mapping,return,file,type,map
ConfigurableMimeFileTypeMap -> protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException;1367955086;Compile a {@link FileTypeMap} from the mappings in the given mapping file_and the given mapping entries._<p>The default implementation creates an Activation Framework {@link MimetypesFileTypeMap},_passing in an InputStream from the mapping resource (if any) and registering_the mapping lines programmatically._@param mappingLocation a {@code mime.types} mapping resource (can be {@code null})_@param mappings MIME type mapping lines (can be {@code null})_@return the compiled FileTypeMap_@throws IOException if resource access failed_@see javax.activation.MimetypesFileTypeMap#MimetypesFileTypeMap(java.io.InputStream)_@see javax.activation.MimetypesFileTypeMap#addMimeTypes(String);protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException {_		MimetypesFileTypeMap fileTypeMap = null__		if (mappingLocation != null) {_			InputStream is = mappingLocation.getInputStream()__			try {_				fileTypeMap = new MimetypesFileTypeMap(is)__			}_			finally {_				is.close()__			}_		}_		else {_			fileTypeMap = new MimetypesFileTypeMap()__		}_		if (mappings != null) {_			for (String mapping : mappings) {_				fileTypeMap.addMimeTypes(mapping)__			}_		}_		return fileTypeMap__	};compile,a,link,file,type,map,from,the,mappings,in,the,given,mapping,file,and,the,given,mapping,entries,p,the,default,implementation,creates,an,activation,framework,link,mimetypes,file,type,map,passing,in,an,input,stream,from,the,mapping,resource,if,any,and,registering,the,mapping,lines,programmatically,param,mapping,location,a,code,mime,types,mapping,resource,can,be,code,null,param,mappings,mime,type,mapping,lines,can,be,code,null,return,the,compiled,file,type,map,throws,ioexception,if,resource,access,failed,see,javax,activation,mimetypes,file,type,map,mimetypes,file,type,map,java,io,input,stream,see,javax,activation,mimetypes,file,type,map,add,mime,types,string;protected,file,type,map,create,file,type,map,resource,mapping,location,string,mappings,throws,ioexception,mimetypes,file,type,map,file,type,map,null,if,mapping,location,null,input,stream,is,mapping,location,get,input,stream,try,file,type,map,new,mimetypes,file,type,map,is,finally,is,close,else,file,type,map,new,mimetypes,file,type,map,if,mappings,null,for,string,mapping,mappings,file,type,map,add,mime,types,mapping,return,file,type,map
ConfigurableMimeFileTypeMap -> protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException;1368482696;Compile a {@link FileTypeMap} from the mappings in the given mapping file_and the given mapping entries._<p>The default implementation creates an Activation Framework {@link MimetypesFileTypeMap},_passing in an InputStream from the mapping resource (if any) and registering_the mapping lines programmatically._@param mappingLocation a {@code mime.types} mapping resource (can be {@code null})_@param mappings MIME type mapping lines (can be {@code null})_@return the compiled FileTypeMap_@throws IOException if resource access failed_@see javax.activation.MimetypesFileTypeMap#MimetypesFileTypeMap(java.io.InputStream)_@see javax.activation.MimetypesFileTypeMap#addMimeTypes(String);protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException {_		MimetypesFileTypeMap fileTypeMap = null__		if (mappingLocation != null) {_			InputStream is = mappingLocation.getInputStream()__			try {_				fileTypeMap = new MimetypesFileTypeMap(is)__			}_			finally {_				is.close()__			}_		}_		else {_			fileTypeMap = new MimetypesFileTypeMap()__		}_		if (mappings != null) {_			for (String mapping : mappings) {_				fileTypeMap.addMimeTypes(mapping)__			}_		}_		return fileTypeMap__	};compile,a,link,file,type,map,from,the,mappings,in,the,given,mapping,file,and,the,given,mapping,entries,p,the,default,implementation,creates,an,activation,framework,link,mimetypes,file,type,map,passing,in,an,input,stream,from,the,mapping,resource,if,any,and,registering,the,mapping,lines,programmatically,param,mapping,location,a,code,mime,types,mapping,resource,can,be,code,null,param,mappings,mime,type,mapping,lines,can,be,code,null,return,the,compiled,file,type,map,throws,ioexception,if,resource,access,failed,see,javax,activation,mimetypes,file,type,map,mimetypes,file,type,map,java,io,input,stream,see,javax,activation,mimetypes,file,type,map,add,mime,types,string;protected,file,type,map,create,file,type,map,resource,mapping,location,string,mappings,throws,ioexception,mimetypes,file,type,map,file,type,map,null,if,mapping,location,null,input,stream,is,mapping,location,get,input,stream,try,file,type,map,new,mimetypes,file,type,map,is,finally,is,close,else,file,type,map,new,mimetypes,file,type,map,if,mappings,null,for,string,mapping,mappings,file,type,map,add,mime,types,mapping,return,file,type,map
ConfigurableMimeFileTypeMap -> protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException;1407511029;Compile a {@link FileTypeMap} from the mappings in the given mapping file_and the given mapping entries._<p>The default implementation creates an Activation Framework {@link MimetypesFileTypeMap},_passing in an InputStream from the mapping resource (if any) and registering_the mapping lines programmatically._@param mappingLocation a {@code mime.types} mapping resource (can be {@code null})_@param mappings MIME type mapping lines (can be {@code null})_@return the compiled FileTypeMap_@throws IOException if resource access failed_@see javax.activation.MimetypesFileTypeMap#MimetypesFileTypeMap(java.io.InputStream)_@see javax.activation.MimetypesFileTypeMap#addMimeTypes(String);protected FileTypeMap createFileTypeMap(Resource mappingLocation, String[] mappings) throws IOException {_		MimetypesFileTypeMap fileTypeMap = null__		if (mappingLocation != null) {_			InputStream is = mappingLocation.getInputStream()__			try {_				fileTypeMap = new MimetypesFileTypeMap(is)__			}_			finally {_				is.close()__			}_		}_		else {_			fileTypeMap = new MimetypesFileTypeMap()__		}_		if (mappings != null) {_			for (String mapping : mappings) {_				fileTypeMap.addMimeTypes(mapping)__			}_		}_		return fileTypeMap__	};compile,a,link,file,type,map,from,the,mappings,in,the,given,mapping,file,and,the,given,mapping,entries,p,the,default,implementation,creates,an,activation,framework,link,mimetypes,file,type,map,passing,in,an,input,stream,from,the,mapping,resource,if,any,and,registering,the,mapping,lines,programmatically,param,mapping,location,a,code,mime,types,mapping,resource,can,be,code,null,param,mappings,mime,type,mapping,lines,can,be,code,null,return,the,compiled,file,type,map,throws,ioexception,if,resource,access,failed,see,javax,activation,mimetypes,file,type,map,mimetypes,file,type,map,java,io,input,stream,see,javax,activation,mimetypes,file,type,map,add,mime,types,string;protected,file,type,map,create,file,type,map,resource,mapping,location,string,mappings,throws,ioexception,mimetypes,file,type,map,file,type,map,null,if,mapping,location,null,input,stream,is,mapping,location,get,input,stream,try,file,type,map,new,mimetypes,file,type,map,is,finally,is,close,else,file,type,map,new,mimetypes,file,type,map,if,mappings,null,for,string,mapping,mappings,file,type,map,add,mime,types,mapping,return,file,type,map
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1328020251;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1356735495;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1357119239;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1367955086;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1368482696;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1407511029;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1495868221;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1498780456;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
ConfigurableMimeFileTypeMap -> @Override 	public String getContentType(File file);1530174524;Delegates to the underlying FileTypeMap._@see #getFileTypeMap();@Override_	public String getContentType(File file) {_		return getFileTypeMap().getContentType(file)__	};delegates,to,the,underlying,file,type,map,see,get,file,type,map;override,public,string,get,content,type,file,file,return,get,file,type,map,get,content,type,file
