# id;timestamp;commentText;codeText;commentWords;codeWords
SlotProfile -> public static SlotProfile preferredLocality(ResourceProfile resourceProfile, Collection<TaskManagerLocation> preferredLocations);1530104620;Returns a slot profile for the given resource profile and the preferred locations.__@param resourceProfile specifying the slot requirements_@param preferredLocations specifying the preferred locations_@return Slot profile with the given resource profile and preferred locations;public static SlotProfile preferredLocality(ResourceProfile resourceProfile, Collection<TaskManagerLocation> preferredLocations) {_		return new SlotProfile(resourceProfile, preferredLocations, Collections.emptyList())__	};returns,a,slot,profile,for,the,given,resource,profile,and,the,preferred,locations,param,resource,profile,specifying,the,slot,requirements,param,preferred,locations,specifying,the,preferred,locations,return,slot,profile,with,the,given,resource,profile,and,preferred,locations;public,static,slot,profile,preferred,locality,resource,profile,resource,profile,collection,task,manager,location,preferred,locations,return,new,slot,profile,resource,profile,preferred,locations,collections,empty,list
SlotProfile -> public static SlotProfile preferredLocality(ResourceProfile resourceProfile, Collection<TaskManagerLocation> preferredLocations);1540920690;Returns a slot profile for the given resource profile and the preferred locations.__@param resourceProfile specifying the slot requirements_@param preferredLocations specifying the preferred locations_@return Slot profile with the given resource profile and preferred locations;public static SlotProfile preferredLocality(ResourceProfile resourceProfile, Collection<TaskManagerLocation> preferredLocations) {_		return new SlotProfile(resourceProfile, preferredLocations, Collections.emptyList())__	};returns,a,slot,profile,for,the,given,resource,profile,and,the,preferred,locations,param,resource,profile,specifying,the,slot,requirements,param,preferred,locations,specifying,the,preferred,locations,return,slot,profile,with,the,given,resource,profile,and,preferred,locations;public,static,slot,profile,preferred,locality,resource,profile,resource,profile,collection,task,manager,location,preferred,locations,return,new,slot,profile,resource,profile,preferred,locations,collections,empty,list
SlotProfile -> @Nonnull 	public Collection<TaskManagerLocation> getPreferredLocations();1519655521;Returns the preferred locations for the slot.;@Nonnull_	public Collection<TaskManagerLocation> getPreferredLocations() {_		return preferredLocations__	};returns,the,preferred,locations,for,the,slot;nonnull,public,collection,task,manager,location,get,preferred,locations,return,preferred,locations
SlotProfile -> @Nonnull 	public Collection<TaskManagerLocation> getPreferredLocations();1528126226;Returns the preferred locations for the slot.;@Nonnull_	public Collection<TaskManagerLocation> getPreferredLocations() {_		return preferredLocations__	};returns,the,preferred,locations,for,the,slot;nonnull,public,collection,task,manager,location,get,preferred,locations,return,preferred,locations
SlotProfile -> @Nonnull 	public Collection<TaskManagerLocation> getPreferredLocations();1530104620;Returns the preferred locations for the slot.;@Nonnull_	public Collection<TaskManagerLocation> getPreferredLocations() {_		return preferredLocations__	};returns,the,preferred,locations,for,the,slot;nonnull,public,collection,task,manager,location,get,preferred,locations,return,preferred,locations
SlotProfile -> @Nonnull 	public Collection<TaskManagerLocation> getPreferredLocations();1540920690;Returns the preferred locations for the slot.;@Nonnull_	public Collection<TaskManagerLocation> getPreferredLocations() {_		return preferredLocations__	};returns,the,preferred,locations,for,the,slot;nonnull,public,collection,task,manager,location,get,preferred,locations,return,preferred,locations
SlotProfile -> public static SlotProfile priorAllocation(ResourceProfile resourceProfile, Collection<AllocationID> priorAllocations);1530104620;Returns a slot profile for the given resource profile and the prior allocations.__@param resourceProfile specifying the slot requirements_@param priorAllocations specifying the prior allocations_@return Slot profile with the given resource profile and prior allocations;public static SlotProfile priorAllocation(ResourceProfile resourceProfile, Collection<AllocationID> priorAllocations) {_		return new SlotProfile(resourceProfile, Collections.emptyList(), priorAllocations)__	};returns,a,slot,profile,for,the,given,resource,profile,and,the,prior,allocations,param,resource,profile,specifying,the,slot,requirements,param,prior,allocations,specifying,the,prior,allocations,return,slot,profile,with,the,given,resource,profile,and,prior,allocations;public,static,slot,profile,prior,allocation,resource,profile,resource,profile,collection,allocation,id,prior,allocations,return,new,slot,profile,resource,profile,collections,empty,list,prior,allocations
SlotProfile -> public static SlotProfile priorAllocation(ResourceProfile resourceProfile, Collection<AllocationID> priorAllocations);1540920690;Returns a slot profile for the given resource profile and the prior allocations.__@param resourceProfile specifying the slot requirements_@param priorAllocations specifying the prior allocations_@return Slot profile with the given resource profile and prior allocations;public static SlotProfile priorAllocation(ResourceProfile resourceProfile, Collection<AllocationID> priorAllocations) {_		return new SlotProfile(resourceProfile, Collections.emptyList(), priorAllocations)__	};returns,a,slot,profile,for,the,given,resource,profile,and,the,prior,allocations,param,resource,profile,specifying,the,slot,requirements,param,prior,allocations,specifying,the,prior,allocations,return,slot,profile,with,the,given,resource,profile,and,prior,allocations;public,static,slot,profile,prior,allocation,resource,profile,resource,profile,collection,allocation,id,prior,allocations,return,new,slot,profile,resource,profile,collections,empty,list,prior,allocations
SlotProfile -> @Nonnull 	public Collection<AllocationID> getPriorAllocations();1519655521;Returns the desired allocation ids for the slot.;@Nonnull_	public Collection<AllocationID> getPriorAllocations() {_		return priorAllocations__	};returns,the,desired,allocation,ids,for,the,slot;nonnull,public,collection,allocation,id,get,prior,allocations,return,prior,allocations
SlotProfile -> @Nonnull 	public Collection<AllocationID> getPriorAllocations();1528126226;Returns the desired allocation ids for the slot.;@Nonnull_	public Collection<AllocationID> getPriorAllocations() {_		return priorAllocations__	};returns,the,desired,allocation,ids,for,the,slot;nonnull,public,collection,allocation,id,get,prior,allocations,return,prior,allocations
SlotProfile -> @Nonnull 	public Collection<AllocationID> getPriorAllocations();1530104620;Returns the desired allocation ids for the slot.;@Nonnull_	public Collection<AllocationID> getPriorAllocations() {_		return priorAllocations__	};returns,the,desired,allocation,ids,for,the,slot;nonnull,public,collection,allocation,id,get,prior,allocations,return,prior,allocations
SlotProfile -> public static SlotProfile noLocality(ResourceProfile resourceProfile);1519655521;Returns a slot profile for the given resource profile, without any locality requirements.;public static SlotProfile noLocality(ResourceProfile resourceProfile) {_		return new SlotProfile(resourceProfile, Collections.emptyList(), Collections.emptyList())__	};returns,a,slot,profile,for,the,given,resource,profile,without,any,locality,requirements;public,static,slot,profile,no,locality,resource,profile,resource,profile,return,new,slot,profile,resource,profile,collections,empty,list,collections,empty,list
SlotProfile -> public static SlotProfile noLocality(ResourceProfile resourceProfile);1528126226;Returns a slot profile for the given resource profile, without any locality requirements.;public static SlotProfile noLocality(ResourceProfile resourceProfile) {_		return new SlotProfile(resourceProfile, Collections.emptyList(), Collections.emptyList())__	};returns,a,slot,profile,for,the,given,resource,profile,without,any,locality,requirements;public,static,slot,profile,no,locality,resource,profile,resource,profile,return,new,slot,profile,resource,profile,collections,empty,list,collections,empty,list
SlotProfile -> public static SlotProfile noLocality(ResourceProfile resourceProfile);1530104620;Returns a slot profile for the given resource profile, without any locality requirements.;public static SlotProfile noLocality(ResourceProfile resourceProfile) {_		return new SlotProfile(resourceProfile, Collections.emptyList(), Collections.emptyList())__	};returns,a,slot,profile,for,the,given,resource,profile,without,any,locality,requirements;public,static,slot,profile,no,locality,resource,profile,resource,profile,return,new,slot,profile,resource,profile,collections,empty,list,collections,empty,list
SlotProfile -> public static SlotProfile noLocality(ResourceProfile resourceProfile);1540920690;Returns a slot profile for the given resource profile, without any locality requirements.;public static SlotProfile noLocality(ResourceProfile resourceProfile) {_		return new SlotProfile(resourceProfile, Collections.emptyList(), Collections.emptyList())__	};returns,a,slot,profile,for,the,given,resource,profile,without,any,locality,requirements;public,static,slot,profile,no,locality,resource,profile,resource,profile,return,new,slot,profile,resource,profile,collections,empty,list,collections,empty,list
SlotProfile -> public ProfileToSlotContextMatcher matcher();1519655521;Returns the matcher for this profile that helps to find slots that fit the profile.;public ProfileToSlotContextMatcher matcher() {_		if (priorAllocations.isEmpty()) {_			return new LocalityAwareRequirementsToSlotMatcher(preferredLocations)__		} else {_			return new PreviousAllocationProfileToSlotContextMatcher(priorAllocations)__		}_	};returns,the,matcher,for,this,profile,that,helps,to,find,slots,that,fit,the,profile;public,profile,to,slot,context,matcher,matcher,if,prior,allocations,is,empty,return,new,locality,aware,requirements,to,slot,matcher,preferred,locations,else,return,new,previous,allocation,profile,to,slot,context,matcher,prior,allocations
SlotProfile -> public ProfileToSlotContextMatcher matcher();1528126226;Returns the matcher for this profile that helps to find slots that fit the profile.;public ProfileToSlotContextMatcher matcher() {_		if (priorAllocations.isEmpty()) {_			return new LocalityAwareRequirementsToSlotMatcher(preferredLocations)__		} else {_			return new PreviousAllocationProfileToSlotContextMatcher(priorAllocations)__		}_	};returns,the,matcher,for,this,profile,that,helps,to,find,slots,that,fit,the,profile;public,profile,to,slot,context,matcher,matcher,if,prior,allocations,is,empty,return,new,locality,aware,requirements,to,slot,matcher,preferred,locations,else,return,new,previous,allocation,profile,to,slot,context,matcher,prior,allocations
SlotProfile -> public static SlotProfile noRequirements();1519655521;Returns a slot profile that has no requirements.;public static SlotProfile noRequirements() {_		return NO_REQUIREMENTS__	};returns,a,slot,profile,that,has,no,requirements;public,static,slot,profile,no,requirements,return
SlotProfile -> public static SlotProfile noRequirements();1528126226;Returns a slot profile that has no requirements.;public static SlotProfile noRequirements() {_		return NO_REQUIREMENTS__	};returns,a,slot,profile,that,has,no,requirements;public,static,slot,profile,no,requirements,return
SlotProfile -> public static SlotProfile noRequirements();1530104620;Returns a slot profile that has no requirements.;public static SlotProfile noRequirements() {_		return NO_REQUIREMENTS__	};returns,a,slot,profile,that,has,no,requirements;public,static,slot,profile,no,requirements,return
SlotProfile -> public static SlotProfile noRequirements();1540920690;Returns a slot profile that has no requirements.;public static SlotProfile noRequirements() {_		return NO_REQUIREMENTS__	};returns,a,slot,profile,that,has,no,requirements;public,static,slot,profile,no,requirements,return
SlotProfile -> @Nonnull 	public ResourceProfile getResourceProfile();1519655521;Returns the desired resource profile for the slot.;@Nonnull_	public ResourceProfile getResourceProfile() {_		return resourceProfile__	};returns,the,desired,resource,profile,for,the,slot;nonnull,public,resource,profile,get,resource,profile,return,resource,profile
SlotProfile -> @Nonnull 	public ResourceProfile getResourceProfile();1528126226;Returns the desired resource profile for the slot.;@Nonnull_	public ResourceProfile getResourceProfile() {_		return resourceProfile__	};returns,the,desired,resource,profile,for,the,slot;nonnull,public,resource,profile,get,resource,profile,return,resource,profile
SlotProfile -> @Nonnull 	public ResourceProfile getResourceProfile();1530104620;Returns the desired resource profile for the slot.;@Nonnull_	public ResourceProfile getResourceProfile() {_		return resourceProfile__	};returns,the,desired,resource,profile,for,the,slot;nonnull,public,resource,profile,get,resource,profile,return,resource,profile
SlotProfile -> @Nonnull 	public ResourceProfile getResourceProfile();1540920690;Returns the desired resource profile for the slot.;@Nonnull_	public ResourceProfile getResourceProfile() {_		return resourceProfile__	};returns,the,desired,resource,profile,for,the,slot;nonnull,public,resource,profile,get,resource,profile,return,resource,profile
SlotProfile -> ProfileToSlotContextMatcher -> @Nullable 		<IN, OUT> OUT findMatchWithLocality( 			@Nonnull Stream<IN> candidates, 			@Nonnull Function<IN, SlotContext> contextExtractor, 			@Nonnull Predicate<IN> additionalRequirementsFilter, 			@Nonnull BiFunction<IN, Locality, OUT> resultProducer)_;1519655521;This method takes the candidate slots, extracts slot contexts from them, filters them by the profile_requirements and potentially by additional requirements, and produces a result from a match.__@param candidates                   stream of candidates to match against._@param contextExtractor             function to extract the {@link SlotContext} from the candidates._@param additionalRequirementsFilter predicate to specify additional requirements for each candidate._@param resultProducer               function to produce a result from a matching candidate input._@param <IN>                         type of the objects against we match the profile._@param <OUT>                        type of the produced output from a matching object._@return the result produced by resultProducer if a matching candidate was found or null otherwise.;@Nullable_		<IN, OUT> OUT findMatchWithLocality(_			@Nonnull Stream<IN> candidates,_			@Nonnull Function<IN, SlotContext> contextExtractor,_			@Nonnull Predicate<IN> additionalRequirementsFilter,_			@Nonnull BiFunction<IN, Locality, OUT> resultProducer)_;this,method,takes,the,candidate,slots,extracts,slot,contexts,from,them,filters,them,by,the,profile,requirements,and,potentially,by,additional,requirements,and,produces,a,result,from,a,match,param,candidates,stream,of,candidates,to,match,against,param,context,extractor,function,to,extract,the,link,slot,context,from,the,candidates,param,additional,requirements,filter,predicate,to,specify,additional,requirements,for,each,candidate,param,result,producer,function,to,produce,a,result,from,a,matching,candidate,input,param,in,type,of,the,objects,against,we,match,the,profile,param,out,type,of,the,produced,output,from,a,matching,object,return,the,result,produced,by,result,producer,if,a,matching,candidate,was,found,or,null,otherwise;nullable,in,out,out,find,match,with,locality,nonnull,stream,in,candidates,nonnull,function,in,slot,context,context,extractor,nonnull,predicate,in,additional,requirements,filter,nonnull,bi,function,in,locality,out,result,producer
